date,sin,sout,albedo,rh,t,u,wdir
20/11/2004 16:30,0,0,1,NAN,NAN,2.42,76
20/11/2004 17:00,91.62666667,49.07833333,0.535633731,NAN,NAN,3.20,21
20/11/2004 17:30,48.77833333,32.11166667,0.658318242,93.82,0.10,3.31,99
20/11/2004 18:00,14.86166667,11.34816667,0.763586408,94.00,-0.07,5.41,69
20/11/2004 18:30,0,0,1,94.65,0.01,7.44,85
20/11/2004 19:00,0,0,1,95.65,-0.08,7.55,94
20/11/2004 19:30,0,0,1,95.70,-0.03,5.65,75
20/11/2004 20:00,0,0,1,95.42,-0.08,4.37,24
20/11/2004 20:30,0,0,1,95.42,-0.16,2.64,58
20/11/2004 21:00,0,0,1,95.73,-0.23,4.02,80
20/11/2004 21:30,0,0,1,96.58,-0.43,4.34,50
20/11/2004 22:00,0,0,1,97.20,-0.55,4.02,77
20/11/2004 22:30,0,0,1,97.45,-0.65,3.10,56
20/11/2004 23:00,0,0,1,97.50,-0.67,4.21,49
20/11/2004 23:30,0,0,1,97.20,-0.70,4.17,62
21/11/2004 00:00,0,0,1,95.30,-0.75,4.06,119
21/11/2004 00:30,0,0,1,94.35,-0.52,4.75,65
21/11/2004 01:00,0,0,1,92.18,-0.52,5.45,106
21/11/2004 01:30,0,0,1,88.80,-0.32,5.34,283
21/11/2004 02:00,0,0,1,85.65,-0.34,4.46,101
21/11/2004 02:30,0,0,1,85.48,-0.90,7.11,53
21/11/2004 03:00,0,0,1,85.38,-0.72,6.97,80
21/11/2004 03:30,0,0,1,80.47,-0.58,7.80,83
21/11/2004 04:00,0,0,1,77.57,-0.21,9.36,83
21/11/2004 04:30,0,0,1,74.13,-0.12,9.80,68
21/11/2004 05:00,0,0,1,77.63,-0.47,9.98,79
21/11/2004 05:30,0,0,1,77.73,-1.05,11.76,95
21/11/2004 06:00,0,0,1,79.43,-1.23,12.44,78
21/11/2004 06:30,0,0,1,70.90,0.02,12.81,68
21/11/2004 07:00,48.93333333,0,1,70.54,0.27,12.75,67
21/11/2004 07:30,84.56333333,63.50166667,0.750936182,74.00,0.26,13.61,84
21/11/2004 08:00,31.1,26.71,0.858842444,68.85,0.69,13.72,65
21/11/2004 08:30,150.7233333,104.5666667,0.693765619,67.02,0.77,13.50,81
21/11/2004 09:00,461.7666667,308.9333333,0.66902476,64.11,1.27,12.93,77
21/11/2004 09:30,585.8166667,390.5333333,0.6666477,66.26,1.14,13.08,77
21/11/2004 10:00,696.9,463.25,0.664729516,66.93,1.26,13.00,75
21/11/2004 10:30,791.8333333,520.0333333,0.656745948,65.54,1.78,12.11,55
21/11/2004 11:00,852.6666667,603.9333333,0.708287725,65.14,1.68,12.65,79
21/11/2004 11:30,944,666.9833333,0.706550141,55.74,2.08,12.05,100
21/11/2004 12:00,985.3333333,695.15,0.705497294,71.56,0.72,12.64,96
21/11/2004 12:30,1036.5,719.8333333,0.694484644,72.07,0.56,11.53,69
21/11/2004 13:00,1011.5,708.1166667,0.700065909,78.95,0.11,11.86,75
21/11/2004 13:30,968.5,668.65,0.690397522,84.15,-0.29,11.40,93
21/11/2004 14:00,746.4666667,508.95,0.681812093,78.50,0.01,11.06,78
21/11/2004 14:30,890,607.6666667,0.682771536,68.07,0.82,12.03,93
21/11/2004 15:00,812,558.6833333,0.688033662,58.16,1.57,12.42,88
21/11/2004 15:30,727.1,506.1666667,0.696144501,55.11,1.72,12.57,93
21/11/2004 16:00,626.8666667,443.7166667,0.707832607,42.29,2.41,11.10,83
21/11/2004 16:30,505.1166667,368.1833333,0.728907513,39.13,2.51,10.25,61
21/11/2004 17:00,380.1833333,291.85,0.767655955,36.72,2.48,9.17,80
21/11/2004 17:30,225.3,179.8933333,0.798461311,37.92,1.93,9.83,82
21/11/2004 18:00,17.3,13.80666667,0.798073218,43.78,1.27,11.31,89
21/11/2004 18:30,0,0,1,41.17,1.30,11.98,70
21/11/2004 19:00,0,0,1,44.94,1.18,10.96,95
21/11/2004 19:30,0,0,1,52.69,1.10,12.39,88
21/11/2004 20:00,0,0,1,65.32,1.14,13.21,78
21/11/2004 20:30,0,0,1,70.41,0.90,13.60,83
21/11/2004 21:00,0,0,1,78.33,0.27,13.57,89
21/11/2004 21:30,0,0,1,83.72,0.21,14.03,95
21/11/2004 22:00,0,0,1,81.95,0.39,13.14,88
21/11/2004 22:30,0,0,1,81.50,0.25,13.63,100
21/11/2004 23:00,0,0,1,76.22,0.76,12.44,97
21/11/2004 23:30,0,0,1,73.90,0.53,13.64,84
22/11/2004 00:00,0,0,1,82.37,-0.19,13.36,91
22/11/2004 00:30,0,0,1,88.93,-0.75,12.78,73
22/11/2004 01:00,0,0,1,87.70,-0.79,13.29,74
22/11/2004 01:30,0,0,1,85.52,-1.03,14.29,77
22/11/2004 02:00,0,0,1,84.88,-0.87,13.60,85
22/11/2004 02:30,0,0,1,79.88,-0.54,12.23,91
22/11/2004 03:00,0,0,1,66.19,0.50,11.66,86
22/11/2004 03:30,0,0,1,58.95,0.92,12.03,91
22/11/2004 04:00,0,0,1,57.56,0.69,12.16,82
22/11/2004 04:30,0,0,1,62.52,0.36,11.68,92
22/11/2004 05:00,0,0,1,66.48,0.77,11.49,83
22/11/2004 05:30,0,0,1,65.65,0.91,11.66,66
22/11/2004 06:00,0,0,1,54.58,1.15,11.59,103
22/11/2004 06:30,0,0,1,57.38,0.24,12.28,88
22/11/2004 07:00,14.09333333,0,1,59.89,0.08,12.39,84
22/11/2004 07:30,19.655,16.81166667,0.855337912,57.92,-0.08,13.17,67
22/11/2004 08:00,24.53,19.045,0.776396249,56.49,-0.27,13.37,71
22/11/2004 08:30,230.6366667,140.565,0.609465104,57.80,-0.36,13.29,72
22/11/2004 09:00,507.2,312,0.615141956,53.92,0.25,12.54,83
22/11/2004 09:30,626.5333333,393.4833333,0.62803256,62.49,-0.18,12.46,84
22/11/2004 10:00,724.6,459.7166667,0.634441991,61.12,0.04,12.13,101
22/11/2004 10:30,818.3333333,521.65,0.637454175,65.07,-0.01,12.72,89
22/11/2004 11:00,888.3333333,566.45,0.637654784,67.16,0.12,12.57,82
22/11/2004 11:30,940.1666667,597.5333333,0.635561071,68.95,0.16,13.76,91
22/11/2004 12:00,987,622.3,0.630496454,71.72,0.36,13.92,78
22/11/2004 12:30,1007.333333,624.1833333,0.619639312,73.90,0.53,12.59,85
22/11/2004 13:00,1006.333333,618.7333333,0.614839351,72.66,1.10,11.49,88
22/11/2004 13:30,995.5,606.4333333,0.609174619,77.03,1.05,12.21,91
22/11/2004 14:00,885.9833333,536.3166667,0.605334939,82.12,1.16,10.44,91
22/11/2004 14:30,745.5333333,456.5166667,0.612335688,84.65,0.86,9.07,95
22/11/2004 15:00,663.5333333,404.05,0.608937004,82.87,0.91,9.63,98
22/11/2004 15:30,441.3833333,274.7166667,0.622399275,77.74,2.03,4.71,95
22/11/2004 16:00,252.8333333,160.6166667,0.635266974,68.43,2.87,3.01,301
22/11/2004 16:30,252.3333333,160.75,0.637054161,79.00,2.30,2.07,285
22/11/2004 17:00,95.71166667,63.58833333,0.664373901,83.10,1.95,2.53,271
22/11/2004 17:30,51.99333333,33.5,0.644313374,90.07,1.08,1.93,272
22/11/2004 18:00,23.30333333,15.48166667,0.66435417,95.18,0.21,2.12,81
22/11/2004 18:30,0,0,1,85.55,0.06,2.31,80
22/11/2004 19:00,0,0,1,69.08,0.57,3.73,74
22/11/2004 19:30,0,0,1,59.01,1.42,5.38,83
22/11/2004 20:00,0,0,1,62.40,1.09,7.68,81
22/11/2004 20:30,0,0,1,60.12,1.15,8.51,80
22/11/2004 21:00,0,0,1,52.58,1.17,9.15,69
22/11/2004 21:30,0,0,1,50.73,1.10,9.45,87
22/11/2004 22:00,0,0,1,49.44,1.20,9.09,88
22/11/2004 22:30,0,0,1,50.48,1.36,7.09,80
22/11/2004 23:00,0,0,1,50.61,1.18,9.46,92
22/11/2004 23:30,0,0,1,50.30,1.59,7.14,90
23/11/2004 00:00,0,0,1,49.37,1.49,7.56,65
23/11/2004 00:30,0,0,1,47.74,1.64,7.56,86
23/11/2004 01:00,0,0,1,50.07,1.02,9.08,94
23/11/2004 01:30,0,0,1,50.41,1.56,6.97,73
23/11/2004 02:00,0,0,1,58.27,1.21,7.73,84
23/11/2004 02:30,0,0,1,59.39,0.99,8.12,99
23/11/2004 03:00,0,0,1,52.56,1.47,5.86,110
23/11/2004 03:30,0,0,1,47.45,1.69,3.97,106
23/11/2004 04:00,0,0,1,59.22,0.66,0.92,148
23/11/2004 04:30,0,0,1,50.51,0.65,2.27,93
23/11/2004 05:00,0,0,1,46.39,1.09,5.41,59
23/11/2004 05:30,0,0,1,47.32,1.44,2.76,87
23/11/2004 06:00,0,0,1,45.68,1.19,1.97,120
23/11/2004 06:30,0,0,1,43.27,1.26,1.85,75
23/11/2004 07:00,20.27166667,0,1,40.60,1.71,1.78,83
23/11/2004 07:30,27.625,19.53666667,0.707209653,46.18,1.15,1.11,62
23/11/2004 08:00,37.03166667,26.63,0.719114272,50.93,0.71,0.83,85
23/11/2004 08:30,319.9483333,178.05,0.556496101,59.56,1.21,0.69,52
23/11/2004 09:00,492.9166667,277.8166667,0.563617921,60.84,3.73,0.49,101
23/11/2004 09:30,631.9333333,356.1666667,0.563614305,68.93,4.33,0.92,292
23/11/2004 10:00,695.55,392.3333333,0.564062013,76.62,3.52,1.66,233
23/11/2004 10:30,580.15,323.8333333,0.558188974,76.42,3.44,1.54,343
23/11/2004 11:00,472.4166667,264.2666667,0.559393191,85.00,2.33,2.21,313
23/11/2004 11:30,413.15,228.75,0.553673,88.83,1.68,2.16,295
23/11/2004 12:00,444.25,240.2333333,0.540761583,81.58,2.49,2.50,55
23/11/2004 12:30,704.55,365.8833333,0.519314929,77.30,3.30,2.34,208
23/11/2004 13:00,482.2666667,247.7,0.513616257,79.00,3.08,2.77,257
23/11/2004 13:30,758.5166667,374.35,0.493529037,78.65,2.94,3.28,329
23/11/2004 14:00,803.3833333,383.6666667,0.477563637,74.93,3.75,2.80,305
23/11/2004 14:30,438.95,207.6,0.472946805,79.27,2.99,3.65,301
23/11/2004 15:00,268.6666667,126.1166667,0.469416873,89.87,2.04,2.35,203
23/11/2004 15:30,154.0166667,71.87666667,0.466681095,88.83,2.06,1.38,333
23/11/2004 16:00,480.0333333,229.15,0.477362683,79.93,2.86,2.00,292
23/11/2004 16:30,167.4333333,77.56333333,0.463249054,89.28,2.32,2.17,297
23/11/2004 17:00,109.6366667,52.35833333,0.477562251,87.95,1.90,1.93,106
23/11/2004 17:30,110.92,62.14333333,0.560253636,84.22,1.86,0.51,277
23/11/2004 18:00,27.81833333,14.91,0.535977473,85.87,1.72,0.83,84
23/11/2004 18:30,0,0,1,88.02,1.02,0.55,217
23/11/2004 19:00,0,0,1,88.80,0.59,0.68,50
23/11/2004 19:30,0,0,1,87.60,0.43,0.91,52
23/11/2004 20:00,0,0,1,89.32,0.19,0.81,175
23/11/2004 20:30,0,0,1,85.98,-0.04,2.30,56
23/11/2004 21:00,0,0,1,84.00,0.86,6.33,83
23/11/2004 21:30,0,0,1,79.90,0.94,2.94,81
23/11/2004 22:00,0,0,1,89.87,-0.33,1.03,125
23/11/2004 22:30,0,0,1,95.87,-0.80,1.34,246
23/11/2004 23:00,0,0,1,96.65,-0.77,1.33,319
23/11/2004 23:30,0,0,1,96.93,-0.73,0.53,180
24/11/2004 00:00,0,0,1,97.30,-0.61,0.91,23
24/11/2004 00:30,0,0,1,97.30,-0.74,0.38,182
24/11/2004 01:00,0,0,1,89.62,-0.59,1.72,291
24/11/2004 01:30,0,0,1,89.93,-0.63,1.36,285
24/11/2004 02:00,0,0,1,86.28,-0.70,1.34,350
24/11/2004 02:30,0,0,1,93.63,-1.32,0.59,123
24/11/2004 03:00,0,0,1,89.93,-1.52,0.89,92
24/11/2004 03:30,0,0,1,85.60,-0.98,0.83,175
24/11/2004 04:00,0,0,1,91.12,-1.25,0.88,17
24/11/2004 04:30,0,0,1,88.67,-1.29,0.86,139
24/11/2004 05:00,0,0,1,81.15,-0.52,1.42,68
24/11/2004 05:30,0,0,1,80.40,-0.02,1.13,35
24/11/2004 06:00,0,0,1,83.10,-0.36,1.41,140
24/11/2004 06:30,0,0,1,85.85,-0.33,1.16,208
24/11/2004 07:00,68.97333333,0,1,89.50,-0.49,1.00,139
24/11/2004 07:30,134.6666667,69.205,0.513898515,91.82,-0.42,0.67,321
24/11/2004 08:00,223.0666667,113.5666667,0.509115362,92.20,0.11,0.68,265
24/11/2004 08:30,225.3833333,112.5,0.499149597,93.75,0.32,1.14,305
24/11/2004 09:00,251.7166667,121.15,0.481295107,94.30,0.47,0.99,253
