year,dayofyear,hour,t,rh,sin,sout,lin,lout,u,p,wdir,vp,zu,zt,zq
2001,152,1,-1.4896667,87.94394209,0,1.3317204,222.01438,299.29244,5.7533333,955.05345,25.70401,547.795101,2,2,2
2001,152,2,-1.0445,85.47363242,0.43168616,2.4952142,235.75572,299.1078,1.494,955.28379,346.60503,565.9807127,2,2,2
2001,152,3,-1.019,76.00608107,3.3222549,4.0398602,232.62914,299.55348,1.8805,955.51412,51.826084,567.0386786,2,2,2
2001,152,4,-1.5631667,73.94354912,16.077309,10.7872,234.86853,297.83409,1.2066667,955.74446,24.34696,544.8436367,2,2,2
2001,152,5,-1.383,72.05358475,57.954499,31.38835,263.54434,302.11309,2.2028333,955.97479,313.33275,552.1039983,2,2,2
2001,152,6,-0.11833333,69.19677205,90.730058,47.679246,279.89548,307.11496,1.4763333,956.20512,346.69833,605.5668358,2,2,2
2001,152,7,1.331,71.74627371,176.91315,89.177706,283.95439,309.17106,1.9615,956.43546,290.2266,672.5271608,2,2,2
2001,152,8,0.709,77.14076887,310.62467,153.30859,264.58863,305.48814,5.2875,956.66579,327.61641,643.0155594,2,2,2
2001,152,9,1.5276667,74.0912954,419.43248,202.46642,259.50704,304.25991,4.6636667,956.89612,330.06692,682.1083634,2,2,2
2001,152,10,2.0508333,74.49789163,499.31809,231.26752,251.19908,304.80648,4.2705,957.12646,325.2475,708.1960426,2,2,2
2001,152,11,2.8803333,72.12213904,701.75148,303.11612,231.59432,299.65475,3.7286667,957.35679,337.51632,751.400175,2,2,2
2001,152,12,2.9388333,72.54646476,769.68067,307.3328,230.59643,303.08414,4.3996667,957.58713,338.33315,754.5346541,2,2,2
2001,152,13,2.9233333,72.3159813,849.9406,305.37309,230.66298,306.74637,6.232,957.81746,330.4811,753.7030095,2,2,2
2001,152,14,3.1068333,69.13176366,835.84833,267.89643,233.28468,307.07245,5.9731667,958.04779,334.22625,763.6016332,2,2,2
2001,152,15,3.398,77.09939957,788.17679,253.45185,231.48181,305.43355,5.6671667,958.27813,271.463,779.5479478,2,2,2
2001,152,16,3.5911667,81.58496229,702.96254,228.80137,226.23757,301.04432,4.4273333,958.50846,132.79782,790.2914537,2,2,2
2001,152,17,4.062,77.40671133,590.33439,197.6222,227.5694,301.81396,4.72,958.73879,332.79046,817.0372541,2,2,2
2001,152,18,3.82,79.48106247,462.18273,166.79534,227.59632,305.45998,5.9841667,958.96913,330.19785,803.1905717,2,2,2
2001,152,19,4.0101667,81.99865103,316.81206,130.24349,223.57115,305.32332,4.2313333,959.19946,337.35212,814.0535669,2,2,2
2001,152,20,3.7376667,82.90876497,174.38095,90.234628,221.6044,305.20712,2.7816667,959.4298,298.13754,798.5279117,2,2,2
2001,152,21,2.3475,81.93955223,71.668048,48.522581,223.93352,306.1776,3.608,959.66013,287.57202,723.3843878,2,2,2
