year,month,dayofyear,hour,sin,sout,lin,lout,t,rh,vp,p,u,wdir,zu,zt,zq
2005,2,40,1,0,0,128.92,262.35,-8.53,18.828,0.55612,502.1,2.3925,66.582,1.85,1.75,1.75
2005,2,40,2,0,0,127.25,260.5,-7.765,15.063,0.47553,501.55,2.836,119.48,1.85,1.75,1.75
2005,2,40,3,0,0,127.9,260.47,-8.65,18.102,0.5291,501.15,3.7815,70.662,1.85,1.75,1.75
2005,2,40,4,0,0,124.8,258.94,-9.08,18.649,0.52468,501,3.8815,68.785,1.85,1.75,1.75
2005,2,40,5,0,0,124.95,258.21,-9.2,18.425,0.51292,501.1,4.6665,69.743,1.85,1.75,1.75
2005,2,40,6,0,0,125.9,257.51,-9.3,18.234,0.50311,501.2,4.686,70.046,1.85,1.75,1.75
2005,2,40,7,12.701,11.172,124.72,256.09,-9.32,18.657,0.51394,501.35,5.1805,70.981,1.85,1.75,1.75
2005,2,40,8,242.5,112.2,123.72,257.7,-8.475,20.708,0.61493,501.65,4.681,78.086,1.85,1.75,1.75
2005,2,40,9,570.95,256.25,127.93,266.76,-7.215,22.028,0.7307,502.05,5.4895,83.395,1.85,1.75,1.75
2005,2,40,10,855,389.15,134.11,276.59,-6.608,27.047,0.94461,502.25,6.0265,80.488,1.85,1.75,1.75
2005,2,40,11,1084,528.75,148.75,292.44,-6.2875,50.612,1.8233,502.5,4.891,101.95,1.85,1.75,1.75
2005,2,40,12,923.4,492.2,240.95,305.13,-6.7105,92.515,3.195,502.55,4.1745,138.26,1.85,1.75,1.75
2005,2,40,13,483.5,286.85,284.12,300.82,-6.9,100,3.4055,502.3,3.5,165.57,1.85,1.75,1.75
2005,2,40,14,870.5,482,269.56,310.32,-6.128,100,3.6437,502,3.62,157.98,1.85,1.75,1.75
2005,2,40,15,789.5,453.4,283.75,311.28,-4.667,98.84,4.0795,501.75,2.867,165.24,1.85,1.75,1.75
2005,2,40,16,774.5,428.5,187.74,310.65,-5.7245,96.091,3.6239,501.75,2.0635,118.9,1.85,1.75,1.75
2005,2,40,17,641.15,398.4,168.2,303.72,-6.887,84.753,2.9021,501.65,2.681,122.42,1.85,1.75,1.75
2005,2,40,18,383.05,310.25,135.32,291.49,-6.7805,53.823,1.8542,501.65,3.4515,98.77,1.85,1.75,1.75
2005,2,40,19,237.21,131.59,123.47,274.11,-7.51,25.19,0.81475,501.7,5.5815,67.394,1.85,1.75,1.75
2005,2,40,20,0,0,125.77,268.32,-8.295,22.418,0.67552,502.15,5.098,54.235,1.85,1.75,1.75
2005,2,40,21,0,0,126.66,266.63,-8.315,22.908,0.68942,502.35,5.794,62.174,1.85,1.75,1.75
2005,2,40,22,0,0,125.85,264.38,-8.705,23.944,0.69634,502.85,5.6585,81.451,1.85,1.75,1.75
2005,2,40,23,0,0,126.19,262.27,-9.215,22.87,0.63581,502.85,5.9545,65.661,1.85,1.75,1.75
2005,2,40,0,0,0,126.1,261.5,-9.26,24.084,0.66675,502.65,6.959,61.335,1.85,1.75,1.75
2005,2,41,1,0,0,125.89,260.53,-9.365,26.38,0.72374,502.3,7.7,65.961,1.85,1.75,1.75
2005,2,41,2,0,0,125.34,259.32,-9.78,28.564,0.75518,501.8,7.1535,69.184,1.85,1.75,1.75
2005,2,41,3,0,0,123.91,258.23,-10.035,30.055,0.77695,501.25,7.76,68.15,1.85,1.75,1.75
2005,2,41,4,0,0,123.43,257.85,-9.845,28.623,0.75109,500.95,8.025,67.045,1.85,1.75,1.75
2005,2,41,5,0,0,123.5,257.12,-10.375,32.051,0.80383,500.8,9.105,63.397,1.85,1.75,1.75
2005,2,41,6,0,0,122.69,256.3,-10.405,29.636,0.74113,501.2,8.555,64.846,1.85,1.75,1.75
2005,2,41,7,13.329,10.385,122.26,255.1,-10.355,28.078,0.70525,501.3,9.55,61.618,1.85,1.75,1.75
2005,2,41,8,244.4,108.2,120.72,254.83,-9.49,26.681,0.72381,501.6,10.63,65.929,1.85,1.75,1.75
2005,2,41,9,573.85,243.8,122.91,262.79,-8.61,27.54,0.80771,502.3,9.755,65.201,1.85,1.75,1.75
2005,2,41,10,859.5,361.8,131.38,274.44,-6.969,26.728,0.90613,503.1,6.663,81.609,1.85,1.75,1.75
2005,2,41,11,1075,454.3,144.01,291.95,-6.326,49.987,1.79,503.35,5.45,112.32,1.85,1.75,1.75
2005,2,41,12,1223,531.5,150.42,302.58,-6.03,66.031,2.4256,503.35,5.319,109.92,1.85,1.75,1.75
2005,2,41,13,1143.5,539.25,199.81,311.14,-5.757,85.231,3.2041,503.3,4.215,115.41,1.85,1.75,1.75
2005,2,41,14,1079,519.35,203.01,311.33,-5.6945,83.388,3.1519,503,4.369,122.79,1.85,1.75,1.75
2005,2,41,15,866,432.85,207.25,308.86,-5.8835,82.183,3.0548,502.7,4.113,119.19,1.85,1.75,1.75
2005,2,41,16,770,407.35,209.88,306.98,-6.1735,90.462,3.283,502.55,3.8535,142.43,1.85,1.75,1.75
2005,2,41,17,703.1,412.5,139.17,300.95,-5.9185,57.296,2.1246,502.4,4.484,128.94,1.85,1.75,1.75
2005,2,41,18,397.55,302.1,124.27,290.78,-6.182,40.523,1.4698,502.4,4.7865,99.992,1.85,1.75,1.75
2005,2,41,19,261.84,129.05,121.59,278.39,-6.406,15.825,0.56512,502.35,7.029,79.971,1.85,1.75,1.75
2005,2,41,20,0,0,126.61,271.88,-7.195,10.03,0.33268,502.5,9.17,70.448,1.85,1.75,1.75
2005,2,41,21,0,0,125.63,269.33,-7.405,10.222,0.33314,502.75,8.5,67.031,1.85,1.75,1.75
