date,shf,lhf,swn,lwn,seb,melt,subl,t,teq,q,u,tdep,sin,lin,sout,lout,rh
2010-07-25 19:00:00,,,0.0,-88.27499999999998,,0.0,,274.025,280.04415987288263,0.0024282634217071453,4.255,,0.0,201.055,0.0,289.33,0.35415
2010-07-25 20:00:00,,,0.0,-93.58000000000001,,0.0,,273.86499999999995,277.8401283926561,0.0016022866969812011,5.005,,0.0,190.835,0.0,284.415,0.2364
2010-07-25 21:00:00,,,0.0,-90.40999999999997,,0.0,,273.6,277.451410498503,0.0015519285128653396,4.97,,0.0,192.115,0.0,282.525,0.2334
2010-07-25 22:00:00,,,0.0,-98.05999999999997,,0.0,,273.415,276.80357673718925,0.0013649546697052026,5.545,,0.0,182.345,0.0,280.405,0.20805
2010-07-25 23:00:00,,,0.0,-99.715,,0.0,,272.915,276.4897565344643,0.001439292356147482,4.015,,0.0,178.21,0.0,277.925,0.228
2010-07-26 00:00:00,,,0.0,-99.82,,0.0,,272.79999999999995,275.7238463115312,0.0011768194745008314,4.125,,0.0,176.64,0.0,276.46,0.1882
2010-07-26 01:00:00,,,0.0,-100.37499999999997,,0.0,,272.64,275.3382746131051,0.0010857654490130366,4.645,,0.0,175.025,0.0,275.4,0.17595
2010-07-26 02:00:00,,,0.7899999999999996,-101.57499999999999,,0.0,,273.14,275.99030318713784,0.00114759648995317,7.51,,3.26,174.94,2.47,276.515,0.17845
2010-07-26 03:00:00,,,66.975,-100.03500000000003,,0.0,,273.375,276.25985978097196,0.0011618066382473571,8.095,,86.725,177.825,19.75,277.86,0.1776
2010-07-26 04:00:00,,,404.18500000000006,-102.44,,0.0,,274.7,278.06651207584383,0.0013578555859795336,7.47,,524.71,185.315,120.525,287.755,0.18865
2010-07-26 05:00:00,,,569.7800000000001,-107.195,,0.0,,275.22,279.22610566203616,0.0016170406358488145,7.995,,752.95,191.88,183.17,299.075,0.21645
2010-07-26 06:00:00,,,714.7950000000001,-108.42500000000004,,0.0,,275.515,280.33410268419146,0.0019463222979437204,7.26,,920.44,198.045,205.645,306.47,0.2551
2010-07-26 07:00:00,27.882330335634915,-135.86877436597814,808.155,-105.23000000000002,594.9385559696567,6.418276300541696,0.172592656216486,276.11499999999995,279.35576774301455,0.001308971530880233,5.32,-213.21644403034324,1011.36,204.44,203.205,309.67,0.1644
2010-07-26 08:00:00,23.084013189183686,-71.87687239603274,825.4499999999999,-99.15999999999997,677.497140793151,7.308929298337858,0.09130442506200348,276.78,282.77474202620965,0.0024252104979248816,3.87,-147.952859206849,1019.05,212.49,193.6,311.65,0.2906
2010-07-26 09:00:00,22.56701138924929,-61.7840530277672,764.835,-93.33499999999998,632.2829583614821,6.821152682353418,0.0784836241707699,276.705,284.07394135264127,0.00298230808702392,3.835,-132.5520416385179,955.76,219.49,190.925,312.825,0.35925
2010-07-26 10:00:00,20.5994193271933,-39.47190335011359,637.5550000000001,-90.76000000000002,527.9225159770798,5.695298344373652,0.050140738200567726,276.76,286.5890184780688,0.003981455219498414,3.49,-109.63248402292031,820.465,222.48,182.91,313.24,0.47775
2010-07-26 11:00:00,25.342763891153595,-37.56962427076364,459.48,-89.475,357.77813962039,3.8597581739089124,0.04772429335735678,277.445,287.74725311910703,0.004176702449066235,3.81,-101.70186037961004,622.14,223.72,162.66,313.195,0.4776
2010-07-26 12:00:00,7.483892143105184,-8.133226480241818,248.57500000000002,-89.22000000000003,158.70566566286337,1.712137837537633,0.0103315509276184,278.9,289.2903146393169,0.004218672722307471,1.52,-89.86933433713666,372.855,224.075,124.28,313.295,0.43585
