date,t,rh,u,sin,sout,lin,lout,p,zu,zt
11/07/2010 15:00,7.68,63.34960938,1.626,533.4078012,205.036473,NAN,NAN,NAN,2,2
11/07/2010 16:00,7.7,64.71679688,3.113,213.5250734,98.06504805,NAN,NAN,NAN,2,2
11/07/2010 17:00,8.16,62.16796875,3.691,277.480988,121.6874746,NAN,NAN,NAN,2,2
11/07/2010 18:00,8.16,62.91015625,4.048,73.13152527,38.21469053,NAN,NAN,NAN,2,2
11/07/2010 19:00,8.4,63.66210938,3.806,49.26152746,27.46597069,NAN,NAN,NAN,2,2
11/07/2010 20:00,8.49,61.51367188,2.827,39.57530104,21.82340854,NAN,NAN,NAN,2,2
11/07/2010 21:00,8.43,64.1796875,3.816,23.98862572,12.66327109,NAN,NAN,NAN,2,2
11/07/2010 22:00,8.47,67.43164063,2.947,7.276532609,3.800219185,NAN,NAN,NAN,2,2
11/07/2010 23:00,7.99,72.36328125,2.449,3.351496236,2.012548217,NAN,NAN,NAN,2,2
12/07/2010 00:00,7.99,75.78125,2.094,3.247309988,1.803144174,NAN,NAN,NAN,2,2
12/07/2010 01:00,7.37,80.17578125,1.369,1.578266925,1.270865917,NAN,NAN,NAN,2,2
12/07/2010 02:00,6.234,87.59765625,1.584,3.621761552,2.371526576,NAN,NAN,NAN,2,2
12/07/2010 03:00,7.07,93.65234375,2.319,4.208711801,2.267340328,NAN,NAN,NAN,2,2
12/07/2010 04:00,7.76,97.4609375,5.587,12.2289898,6.102632112,NAN,NAN,NAN,2,2
12/07/2010 05:00,7.6,98.33984375,3.537,24.55597657,11.63172408,NAN,NAN,NAN,2,2
12/07/2010 06:00,7.08,98.53515625,2.583,71.59452023,32.74749138,NAN,NAN,NAN,2,2
12/07/2010 07:00,6.824,98.6328125,2.434,85.61324409,38.76141045,NAN,NAN,NAN,2,2
12/07/2010 08:00,6.528,98.73046875,2.251,180.7218785,77.84672666,NAN,NAN,NAN,2,2
12/07/2010 09:00,6.051,98.828125,2.5,202.3843657,88.98743436,NAN,NAN,NAN,2,2
12/07/2010 10:00,7.37,98.92578125,1.063,377.541048,162.5367362,NAN,NAN,NAN,2,2
12/07/2010 11:00,8.43,98.6328125,3.563,320.599653,132.2092541,NAN,NAN,NAN,2,2
12/07/2010 12:00,9.38,92.578125,4.334,151.8385622,63.6526398,NAN,NAN,NAN,2,2
12/07/2010 13:00,8.8,90.625,3.591,505.1434131,177.9067866,NAN,NAN,NAN,2,2
12/07/2010 14:00,7.3,93.45703125,7.6,515.0462644,172.4395875,NAN,NAN,NAN,2,2
12/07/2010 15:00,9.79,75.48828125,4.924,628.2069714,192.6579089,NAN,NAN,NAN,2,2
12/07/2010 16:00,10.01,73.14453125,5.478,429.8404814,135.8196686,NAN,NAN,NAN,2,2
12/07/2010 17:00,9.89,74.8046875,6.174,114.0839416,40.56661771,NAN,NAN,NAN,2,2
12/07/2010 18:00,9.77,76.07421875,6.347,67.54054048,25.19656726,NAN,NAN,NAN,2,2
12/07/2010 19:00,8.81,80.2734375,7.22,30.14696137,12.56011639,NAN,NAN,NAN,2,2
12/07/2010 20:00,7.87,79.78515625,7.65,18.49048015,8.392666474,NAN,NAN,NAN,2,2
12/07/2010 21:00,6.988,78.90625,10.93,12.75507878,5.728180547,NAN,NAN,NAN,2,2
12/07/2010 22:00,6.229,80.859375,12.2,6.136673163,2.988391688,NAN,NAN,NAN,2,2
12/07/2010 23:00,4.653,88.671875,10.45,2.106418994,2.117766012,NAN,NAN,NAN,2,2
13/07/2010 00:00,3.195,90.52734375,8.94,2.609813935,2.033179157,NAN,NAN,NAN,2,2
13/07/2010 01:00,2.356,90.72265625,6.622,5.211375495,3.044095227,NAN,NAN,NAN,2,2
13/07/2010 02:00,1.811,90.91796875,8.98,18.67615861,7.305415925,NAN,NAN,NAN,2,2
13/07/2010 03:00,1.671,91.2109375,14.71,29.71371162,11.82771802,NAN,NAN,NAN,2,2
13/07/2010 04:00,2.421,82.32421875,11.33,69.32511681,26.04243581,NAN,NAN,NAN,2,2
13/07/2010 05:00,2.211,83.49609375,10.99,119.0353673,43.71283609,NAN,NAN,NAN,2,2
13/07/2010 06:00,2.211,82.71484375,11.86,268.3002196,100.0249874,NAN,NAN,NAN,2,2
13/07/2010 07:00,2.552,79.8828125,7.94,236.8380358,81.66345059,NAN,NAN,NAN,2,2
13/07/2010 08:00,3.409,75.9765625,3.424,384.4524129,130.868243,NAN,NAN,NAN,2,2
13/07/2010 09:00,3.393,79.39453125,1.01,253.9617162,89.50320787,NAN,NAN,NAN,2,2
13/07/2010 10:00,3.397,78.90625,1.27,334.8350017,119.7275353,NAN,NAN,NAN,2,2
13/07/2010 11:00,3.772,80.2734375,1.059,399.7193087,140.6679396,NAN,NAN,NAN,2,2
13/07/2010 12:00,3.379,81.25,1.646,441.8064267,153.974896,NAN,NAN,NAN,2,2
13/07/2010 13:00,3.475,79.78515625,2.135,264.1740316,98.89028566,NAN,NAN,NAN,2,2
13/07/2010 14:00,3.295,84.47265625,1.336,116.4564997,47.80807772,NAN,NAN,NAN,2,2
13/07/2010 15:00,3.114,89.35546875,1.157,107.378886,43.56841951,NAN,NAN,NAN,2,2
13/07/2010 16:00,2.927,94.140625,0.568,58.54545055,24.0102882,NAN,NAN,NAN,2,2
13/07/2010 17:00,2.426,96.97265625,0.418,31.11661555,13.32346118,NAN,NAN,NAN,2,2
13/07/2010 18:00,2.224,98.046875,1.101,20.16158631,8.980648269,NAN,NAN,NAN,2,2
13/07/2010 19:00,2.403,98.33984375,0.807,18.17070058,8.212145747,NAN,NAN,NAN,2,2
13/07/2010 20:00,2.165,98.6328125,1.381,14.88006562,6.682361531,NAN,NAN,NAN,2,2
13/07/2010 21:00,2.262,98.6328125,1.492,4.837955477,2.526258628,NAN,NAN,NAN,2,2
13/07/2010 22:00,2.578,97.94921875,0.71,2.097135071,1.255392712,NAN,NAN,NAN,2,2
13/07/2010 23:00,2.82,97.65625,0.798,1.429724156,0.906729822,NAN,NAN,NAN,2,2
14/07/2010 00:00,3.144,97.55859375,0.696,1.868131635,1.10066066,NAN,NAN,NAN,2,2
14/07/2010 01:00,3.494,97.0703125,1.436,2.037305345,1.160490387,NAN,NAN,NAN,2,2
14/07/2010 02:00,3.807,96.97265625,1.27,4.688381161,2.172438003,NAN,NAN,NAN,2,2
14/07/2010 03:00,3.685,97.65625,1.029,8.309111166,3.53304851,NAN,NAN,NAN,2,2
14/07/2010 04:00,3.83,98.2421875,0.761,9.980217322,4.12618804,NAN,NAN,NAN,2,2
14/07/2010 05:00,3.957,98.4375,0.991,18.37700998,7.405475985,NAN,NAN,NAN,2,2
14/07/2010 06:00,5.475,98.53515625,2.409,28.00134358,11.33257545,NAN,NAN,NAN,2,2
14/07/2010 07:00,5.122,98.2421875,1.452,31.04440726,12.178444,NAN,NAN,NAN,2,2
14/07/2010 08:00,5.355,98.33984375,1.144,65.03388124,25.58855513,NAN,NAN,NAN,2,2
14/07/2010 09:00,6.636,96.97265625,3.254,210.2241229,74.44262152,NAN,NAN,NAN,2,2
14/07/2010 10:00,8.48,90.52734375,4.421,377.1284292,124.3694968,NAN,NAN,NAN,2,2
14/07/2010 11:00,7.62,91.30859375,3.826,609.9485893,194.3083841,NAN,NAN,NAN,2,2
14/07/2010 12:00,7.08,92.67578125,6.398,583.7472953,190.182196,NAN,NAN,NAN,2,2
14/07/2010 13:00,5.343,97.16796875,10.86,405.7022813,137.1606797,NAN,NAN,NAN,2,2
14/07/2010 14:00,5.092,93.65234375,9.75,679.8874766,210.2973627,NAN,NAN,NAN,2,2
14/07/2010 15:00,3.885,92.578125,11.79,463.5720686,145.6193652,NAN,NAN,NAN,2,2
14/07/2010 16:00,4.743,84.27734375,10.72,246.1219589,79.08458307,NAN,NAN,NAN,2,2
14/07/2010 17:00,4.404,83.10546875,10.49,120.170069,40.31904643,NAN,NAN,NAN,2,2
14/07/2010 18:00,3.321,86.71875,8.25,97.57918941,32.53086651,NAN,NAN,NAN,2,2
14/07/2010 19:00,3.332,84.66796875,6.692,107.8946595,34.35670471,NAN,NAN,NAN,2,2
14/07/2010 20:00,3.294,82.421875,3.826,40.95757403,13.80828827,NAN,NAN,NAN,2,2
14/07/2010 21:00,2.501,86.9140625,1.838,26.41276119,8.712446047,NAN,NAN,NAN,2,2
14/07/2010 22:00,2.422,82.03125,2.812,9.340658172,4.938015537,NAN,NAN,NAN,2,2
14/07/2010 23:00,2.366,76.07421875,6.198,3.358717065,3.26381474,NAN,NAN,NAN,2,2
15/07/2010 00:00,2.247,76.7578125,5.778,3.244215347,3.244215347,NAN,NAN,NAN,2,2
15/07/2010 01:00,1.966,78.515625,3.667,5.886007239,4.754400169,NAN,NAN,NAN,2,2
15/07/2010 02:00,1.298,83.203125,0.893,13.55968544,8.856862628,NAN,NAN,NAN,2,2
